,date,open,high,low,close,volume,oi
194,2021-05-12 12:55:00+05:30,433.0,451.65,421.2,437.5,21400,222050
195,2021-05-12 13:00:00+05:30,437.5,438.2,421.65,434.1,10200,221250
196,2021-05-12 13:05:00+05:30,434.1,434.1,411.0,415.05,16250,222300
197,2021-05-12 13:10:00+05:30,415.05,422.0,404.7,422.0,14200,224150
198,2021-05-12 13:15:00+05:30,424.95,428.0,404.65,423.25,13100,225725
199,2021-05-12 13:20:00+05:30,423.25,436.0,416.45,422.65,17125,224325
200,2021-05-12 13:25:00+05:30,422.7,430.55,418.6,428.2,8250,224400
201,2021-05-12 13:30:00+05:30,429.4,433.9,418.0,423.1,15625,222925
202,2021-05-12 13:35:00+05:30,423.1,458.0,422.15,455.05,43300,229975
203,2021-05-12 13:40:00+05:30,456.8,468.9,450.0,454.75,50975,238100
204,2021-05-12 13:45:00+05:30,454.1,460.0,437.05,441.8,25550,236375
205,2021-05-12 13:50:00+05:30,441.8,448.0,420.65,429.4,19900,238700
206,2021-05-12 13:55:00+05:30,428.65,431.65,405.0,413.1,34325,239900
207,2021-05-12 14:00:00+05:30,412.5,412.95,385.2,397.5,52800,244450
208,2021-05-12 14:05:00+05:30,395.7,410.8,393.25,407.8,21450,242300
209,2021-05-12 14:10:00+05:30,410.0,418.0,406.0,415.4,24400,245450
210,2021-05-12 14:15:00+05:30,415.4,416.65,400.05,407.0,15800,247750
211,2021-05-12 14:20:00+05:30,407.0,418.0,398.25,404.8,21075,250600
212,2021-05-12 14:25:00+05:30,404.8,409.95,401.05,407.65,7975,249575
213,2021-05-12 14:30:00+05:30,405.9,408.0,391.45,403.2,28225,249150
214,2021-05-12 14:35:00+05:30,403.2,434.4,393.6,410.95,53900,257375
215,2021-05-12 14:40:00+05:30,410.95,422.65,408.45,411.0,23675,261300
216,2021-05-12 14:45:00+05:30,412.85,430.0,411.0,424.8,35800,259900
217,2021-05-12 14:50:00+05:30,425.85,470.8,421.55,470.8,92925,257700
218,2021-05-12 14:55:00+05:30,470.8,539.15,457.2,528.3,146150,259400
219,2021-05-12 15:00:00+05:30,529.0,553.75,459.05,459.05,91675,264750
220,2021-05-12 15:05:00+05:30,459.05,510.25,455.35,496.4,89025,277875
221,2021-05-12 15:10:00+05:30,496.4,506.95,487.25,492.7,62725,276200
222,2021-05-12 15:15:00+05:30,494.95,496.0,485.7,488.6,63100,280025
223,2021-05-12 15:20:00+05:30,489.7,505.5,488.25,489.8,119100,300750
224,2021-05-12 15:25:00+05:30,489.75,513.3,485.6,510.0,85975,310725
